id,source_text,target_text,alt_text
ATIS_train_2737,leave flight from boston to atlanta leave boston approximately 1pm ,"[""SELECT['flights']"", ""FILTER['#1', 'from boston']"", ""FILTER['#2', 'to atlanta']"", ""FILTER['#3', 'that leave approximately 1pm']""]","[""SELECT['flights']"", ""FILTER['#1', 'from boston']"", ""FILTER['#2', 'to atlanta']"", ""FILTER['#3', 'leave approximately 1pm']""]"
ATIS_train_2738,i would like to book a flight from denver to pittsburgh on july fifteenth i'd like it to be the cheapest flight ,"[""SELECT['flights']"", ""FILTER['#1', 'from denver']"", ""FILTER['#2', 'to pittsburgh']"", ""FILTER['#3', 'on july fifteenth']"", ""PROJECT['the cheapest #REF', '#4']""]","[""SELECT['flights']"", ""FILTER['#1', 'from denver']"", ""FILTER['#2', 'to pittsburgh']"", ""FILTER['#3', 'on july fifteenth']"", ""PROJECT['cheapest #REF', '#4']""]"
ATIS_train_2739,is there a flight on delta airlines from boston to denver ,"[""SELECT['flights']"", ""FILTER['#1', 'on delta airlines']"", ""FILTER['#2', 'from boston']"", ""FILTER['#3', 'to denver']"", ""AGGREGATE['count', '#4']"", ""BOOLEAN['#5', 'is at least one']""]","[""SELECT['flights']"", ""FILTER['#1', 'on delta airlines']"", ""FILTER['#2', 'from boston']"", ""FILTER['#3', 'to denver']"", ""BOOLEAN['#4', 'if there is #REF']""]"
ATIS_train_274,show me the economy flights from baltimore to dallas ,"[""SELECT['flights']"", ""FILTER['#1', 'in economy']"", ""FILTER['#2', 'from baltimore']"", ""FILTER['#3', 'to dallas']""]","[""SELECT['flights']"", ""FILTER['#1', 'from baltimore']"", ""FILTER['#2', 'to dallas']"", ""FILTER['#3', 'in economy']""]"
ATIS_train_2740,show me all the flights to baltimore after 6 o'clock pm ,"[""SELECT['flights']"", ""FILTER['#1', 'to baltimore']"", ""FILTER['#2', 'after 6 oclock pm']""]","[""SELECT['flights']"", ""FILTER['#1', 'from baltimore']"", ""FILTER['#2', 'after 6 oclock pm']""]"
ATIS_train_2741,what is the cheapest coach flight between dallas and baltimore leaving august tenth ,"[""SELECT['flights']"", ""FILTER['#1', 'from dallas']"", ""FILTER['#2', 'to baltimore']"", ""FILTER['#3', 'leaving august tenth']"", ""FILTER['#4', 'in coach']"", ""PROJECT['the cheapest of #REF', '#5']""]","[""SELECT['flights']"", ""FILTER['#1', 'in coach']"", ""FILTER['#2', 'betweenleftside dallas']"", ""FILTER['#3', 'betweenrightside baltimore']"", ""FILTER['#4', 'leaving august tenth']"", ""PROJECT['the cheapest #REF', '#5']""]"
ATIS_train_2742,how many first class flights does delta airlines have ,"[""SELECT['flights']"", ""FILTER['#1', 'on delta airlines']"", ""FILTER['#2', 'that are first class']"", ""AGGREGATE['count', '#3']""]","[""SELECT['flights']"", ""FILTER['#1', 'on delta airlines']"", ""FILTER['#2', 'in first class']"", ""AGGREGATE['count', '#3']""]"
ATIS_train_2743,i need a plane that arrives in san francisco by 9 o'clock pm on friday and leaves from baltimore ,"[""SELECT['flights']"", ""FILTER['#1', 'that leave from baltimore']"", ""FILTER['#2', 'that arrive in san francisco']"", ""FILTER['#3', 'on friday']"", ""FILTER['#4', 'by 9 oclock pm']""]","[""SELECT['flights']"", ""FILTER['#1', 'from baltimore']"", ""FILTER['#2', 'to san francisco']"", ""FILTER['#3', 'that arrive by 9 oclock pm on friday']""]"
ATIS_train_2744,show me the cheapest round trip fares from san francisco to salt lake city ,"[""SELECT['flights']"", ""FILTER['#1', 'from san francisco']"", ""FILTER['#2', 'to salt lake city']"", ""PROJECT['round trip fares of #REF', '#3']"", ""AGGREGATE['min', '#4']""]","[""SELECT['flights']"", ""FILTER['#1', 'that are round trip']"", ""FILTER['#2', 'from san francisco']"", ""FILTER['#3', 'to salt lake city']"", ""PROJECT['fares of #REF', '#4']"", ""FILTER['#5', 'that are the cheapest']""."
ATIS_train_2745,sure i want to go from philadelphia to dallas ,"[""SELECT['flights']"", ""FILTER['#1', 'from philadelphia']"", ""FILTER['#2', 'to dallas']""]","[""SELECT['philadelphia']"", ""FILTER['#1', 'to dallas']""]"
ATIS_train_2746,show flights from philadelphia to dallas on saturday ,"[""SELECT['flights']"", ""FILTER['#1', 'on saturday']"", ""FILTER['#2', 'from philadelphia']"", ""FILTER['#3', 'to dallas']""]","[""SELECT['flights']"", ""FILTER['#1', 'on saturday']"", ""FILTER['#2', 'from philadelphia']"", ""FILTER['#3', 'to dallas']""]"
ATIS_train_2747,list flights from dallas to san francisco ,"[""SELECT['flights']"", ""FILTER['#1', 'from dallas']"", ""FILTER['#2', 'to san francisco']""]","[""SELECT['the flights']"", ""FILTER['#1', 'from dallas']"", ""FILTER['#2', 'to san francisco']""]"
ATIS_train_2748,what kind of ground transportation can you offer me in seattle ,"[""SELECT['ground transportations']"", ""FILTER['#1', 'in seattle']""]","[""SELECT['ground transportation']"", ""FILTER['#1', 'in seattle']""]"
ATIS_train_2749,what is hp ,"[""SELECT['hp']"", ""PROJECT['what is #REF', '#1']""]","[""SELECT['hps']"", ""PROJECT['what is #REF', '#1']""]"
ATIS_train_275,what flights are currently available between boston and dallas fort worth ,"[""SELECT['flights']"", ""FILTER['#1', 'between boston']"", ""FILTER['#2', 'and dallas fort worth']""]","[""SELECT['flights']"", ""FILTER['#1', 'between boston']"", ""FILTER['#2', 'and dallas fort worth']""]"
ATIS_train_2750,please show me airlines with flights from denver to philadelphia ,"[""SELECT['flights']"", ""FILTER['#1', 'from denver']"", ""FILTER['#2', 'to philadelphia']"", ""PROJECT['airlines of #REF', '#3']""]","[""SELECT['flights']"", ""FILTER['#1', 'from denver']"", ""FILTER['#2', 'to philadelphia']"", ""PROJECT['the airlines of #REF', '#3']""]"
ATIS_train_2751,what is the ground transportation from philadelphia airport to the city proper ,"[""SELECT['ground transportation']"", ""FILTER['#1', 'from philadelphia airport']"", ""FILTER['#2', 'to the city proper']""]","[""SELECT['ground transportation']"", ""FILTER['#1', 'from the philadelphia airport']"", ""FILTER['#2', 'to the city proper']""."
ATIS_train_2752,can i have a rental car in houston ,"[""SELECT['rental cars']"", ""FILTER['#1', 'in houston']"", ""BOOLEAN['#2', 'are there any #REF']""]","[""SELECT['rental cars']"", ""FILTER['#1', 'in houston']"", ""BOOLEAN['#2', 'if there is #REF']""]"
ATIS_train_2753,how about flights leaving san francisco and arriving in boston for any day ,"[""SELECT['flights']"", ""FILTER['#1', 'leaving san francisco']"", ""FILTER['#2', 'arriving in boston']"", ""FILTER['#3', 'that are any day']""]","[""SELECT['flights']"", ""FILTER['#1', 'leaving san francisco']"", ""FILTER['#2', 'arriving in boston']"", ""FILTER['#3', 'that are any day flights']""]"
ATIS_train_2754,what is the first flight arriving in montreal from toronto friday ,"[""SELECT['flights']"", ""FILTER['#1', 'from toronto']"", ""FILTER['#2', 'to montreal']"", ""FILTER['#3', 'arriving friday']"", ""FILTER['#4', 'that is the first']""]","[""SELECT['flights']"", ""FILTER['#1', 'from toronto']"", ""FILTER['#2', 'arriving in montreal']"", ""FILTER['#3', 'on friday']"", ""AGGREGATE['min', '#4']""]"
