id,source_text,target_text,alt_text
COMQA_train_cluster-1315-1,what year did hannah mpontana come out?,"[""SELECT['hannah mpontana']"", ""PROJECT['when did #REF come out', '#1']"", ""PROJECT['year of #REF', '#2']""]","[""SELECT['hannah mpontana come out']"", ""PROJECT['when was #REF', '#1']"", ""PROJECT['year of #REF', '#2']""]"
COMQA_train_cluster-1315-2,what year did hannah montana come out on tv?,"[""SELECT['hannah montana come out on tv']"", ""PROJECT['year of #REF', '#1']""]","[""SELECT['hannah montana comes out on tv']"", ""PROJECT['year of #REF', '#1']""]"
COMQA_train_cluster-1315-4,when did the hannah montana tv show begin?,"[""SELECT['the hannah montana tv show begin']"", ""PROJECT['date of #REF', '#1']""]","[""SELECT['the hannah montana tv show began']"", ""PROJECT['date of #REF', '#1']""]"
COMQA_train_cluster-1316-3,where did joan lunden go to college?,"[""SELECT['joan lunden']"", ""PROJECT['college of #REF', '#1']""]","[""SELECT['joan lunden']"", ""PROJECT['college that #REF go to', '#1']""]"
COMQA_train_cluster-1317-1,what movies were bonnie wright in?,"[""SELECT['bonnie wright']"", ""PROJECT['movies of #REF', '#1']""]","[""SELECT['bonnie wright']"", ""PROJECT['movies #REF was in', '#1']""]"
COMQA_train_cluster-1317-3,what movie did bonnie wright play in?,"[""SELECT['bonnie wright']"", ""PROJECT['movie of #REF', '#1']""]","[""SELECT['bonnie wright']"", ""PROJECT['movie that #REF plays in', '#1']""]"
COMQA_train_cluster-1317-5,what films starring bonnie wright?,"[""SELECT['bonnie wright']"", ""PROJECT['films of #REF', '#1']""]","[""SELECT['bonnie wright']"", ""PROJECT['films that starring #REF', '#1']""]"
COMQA_train_cluster-1320-2,who was the first president of chile?,"[""SELECT['chile']"", ""PROJECT['presidents of #REF', '#1']"", ""AGGREGATE['min', '#2']""]","[""SELECT['china']"", ""PROJECT['presidents of #REF', '#1']"", ""AGGREGATE['min', '#2']""]"
COMQA_train_cluster-1321-2,when did the tony romo start playing with the cowboys?,"[""SELECT['tony romo starts playing with the cowboys']"", ""PROJECT['date of #REF', '#1']""]","[""SELECT['tony romo start playing with the cowboys']"", ""PROJECT['date of #REF', '#1']""]"
COMQA_train_cluster-1321-3,when did cowboys sign a contract for tony romo?,"[""SELECT['tony romo signs a contract with the cowboys']"", ""PROJECT['date of #REF', '#1']""]","[""SELECT['tony romo signs a contract with the cowboys']"", ""PROJECT['date of #REF', '#1']""]"
COMQA_train_cluster-1321-4,when did tony romo join the cowboys?,"[""SELECT['tony romo did join the cowboys']"", ""PROJECT['when was #REF', '#1']""]","[""SELECT['tony romo join the cowboys']"", ""PROJECT['when was #REF', '#1']""]"
COMQA_train_cluster-132-3,who ran against bill clinton during his second term?,"[""SELECT['bill clinton']"", ""PROJECT['who ran against #REF', '#1']"", ""FILTER['#2', 'during his second term']""]","[""SELECT['bill clinton']"", ""PROJECT['who ran against #REF', '#1']"", ""FILTER['#2', 'in his second term']""]"
COMQA_train_cluster-1323-1,who is the husband of mariah carey?,"[""SELECT['mariah carey']"", ""PROJECT['husband of #REF', '#1']""]","[""SELECT['mariah carey']"", ""PROJECT['husband of #REF', '#1']""]"
COMQA_train_cluster-132-4,who did bill clinton run against during his second term presidency?,"[""SELECT['bill clinton']"", ""PROJECT['who did #REF run against', '#1']"", ""FILTER['#2', 'during his second term presidency']""]","[""SELECT['bill clinton']"", ""PROJECT['who #REF ran against', '#1']"", ""FILTER['#2', 'during his second term presidency']""]"
COMQA_train_cluster-1324-1,in what movie did bryan singer direct patrick stewart and ahlle berry?,"[""SELECT['patrick stewart']"", ""SELECT['ahlle berry']"", ""PROJECT['movies of #REF', '#1']"", ""PROJECT['movies of #REF', '#2']"", ""SELECT['movies']"", ""INTERSECTION['#5', '#3', '#4']"", ""FILTER['#6', 'that bryan singer did direct']""]","[""SELECT['patrick stewart']"", ""SELECT['ahlle berry']"", ""SELECT['movie']"", ""INTERSECTION['#3', '#1', '#2']"", ""FILTER['#4', 'that bryan singer directs']""]"
