id,source_text,target_text,alt_text
CWQ_train_WebQTrn-2807_9829997ca2dfe1b10e4e25b11596cee1,"Which religion did James K. Polk believe in, where the religious place of worship is the Trinity Independent Chapel?","[""SELECT['James K. Polk']"", ""PROJECT['religion #REF did believe in', '#1']"", ""FILTER['#2', 'where the religious place of worship is the Trinity Independent Chapel']""]","[""SELECT['James K. Polk']"", ""PROJECT['religion that #REF believes in', '#1']"", ""FILTER['#2', 'where the religious place of worship is the Trinity Independent Chapel']""]"
CWQ_train_WebQTrn-2816_039b0721ec9cbe07d90445a27dfa391d,What movie written by Mark Protosevich was Kat Dennings in?,"[""SELECT['Mark Protosevich']"", ""PROJECT['movies written by #REF', '#1']"", ""FILTER['#2', 'that Kat Dennings was in']""]","[""SELECT['Mark Protosevich']"", ""PROJECT['movie written by #REF', '#1']"", ""FILTER['#2', 'that Kat Dennings was in']""]"
CWQ_train_WebQTrn-2816_12c4134b9aee6c68530276b0e0abcbff,"What movie was Kat Dennings in that was released on October 3, 2004?","[""SELECT['Kat Dennings']"", ""PROJECT['movie of #REF', '#1']"", ""FILTER['#2', 'that was released on October 3 2004']""]","[""SELECT['Kat Dennings']"", ""PROJECT['movies of #REF', '#1']"", ""FILTER['#2', 'that were released on October 3 2004']""]"
CWQ_train_WebQTrn-2816_4246a6f9bf132a1fe043fe8f46530d7c,Which French language film stars Kat Dennings?,"[""SELECT['Kat Dennings']"", ""PROJECT['films of #REF', '#1']"", ""PROJECT['languages of #REF', '#2']"", ""COMPARATIVE['#2', '#3', 'is French']""]","[""SELECT['Kat Dennings']"", ""PROJECT['film that stars #REF', '#1']"", ""FILTER['#2', 'that is French language']""]"
CWQ_train_WebQTrn-2816_578ac71b94aab271ad88c6e7972f4b5e,In what film featuring a character named Jasper Sitwell does Kat Dennings star?,"[""SELECT['Kat Dennings']"", ""PROJECT['films of #REF', '#1']"", ""PROJECT['characters of #REF', '#2']"", ""COMPARATIVE['#2', '#3', 'is named Jasper Sitwell']""]","[""SELECT['character']"", ""FILTER['#1', 'that is named Jasper Sitwell']"", ""PROJECT['film of #REF', '#2']"", ""FILTER['#3', 'that Kat Dennings stars In']""]"
CWQ_train_WebQTrn-2816_986f6d5d8a2eeb3b1fd12725028088cb,"What film released in October 8, 2004 did Kat Dennings star in?","[""SELECT['Kat Dennings']"", ""PROJECT['films of #REF', '#1']"", ""PROJECT['when was #REF released', '#2']"", ""COMPARATIVE['#2', '#3', 'is equal to October 8 , 2004']""]","[""SELECT['Kat Dennings']"", ""PROJECT['film of #REF', '#1']"", ""FILTER['#2', 'that was released on October 8 2004']""]"
CWQ_train_WebQTrn-2816_ece235cc1386c89729a43e77cf8e9edf,What movie was Kat Dennings in that had music by George S. Clinton?,"[""SELECT['Kat Dennings']"", ""PROJECT['movies of #REF', '#1']"", ""FILTER['#2', 'that had musics by George S. Clinton']""]","[""SELECT['Kat Dennings']"", ""PROJECT['movies of #REF', '#1']"", ""FILTER['#2', 'with music by George S. Clinton']""]"
CWQ_train_WebQTrn-2822_f985477b31ccd0777564c91d7ea3afb6,What political system was used in the country with Benghazi in it?,"[""SELECT['Benghazi']"", ""PROJECT['country of #REF', '#1']"", ""PROJECT['political system of #REF', '#2']""]","[""SELECT['Benghazi']"", ""PROJECT['country with #REF in it', '#1']"", ""PROJECT['political system of #REF', '#2']""]"
CWQ_train_WebQTrn-2825_6b6f19d9abc98d7eda3c6da9a66f1176,"In the country that bred the Cordoba Fighting Dog, what form of currency is used?","[""SELECT['the Cordoba Fighting Dog']"", ""PROJECT['country of #REF', '#1']"", ""PROJECT['currency of #REF', '#2']""]","[""SELECT['the Cordoba Fighting Dog']"", ""PROJECT['country that bred #REF', '#1']"", ""PROJECT['currency of #REF', '#2']""."
CWQ_train_WebQTrn-2835_9737e4b298138afd4f5bf313645248c3,What things did Thomas Eddison and Emilie Berliner invent?,"[""SELECT['Thomas Eddison']"", ""SELECT['Emilie Berliner']"", ""PROJECT['things that #REF invents', '#1']"", ""PROJECT['things that #REF invents', '#2']"", ""UNION['#3', '#4']""]","[""SELECT['Thomas Eddison']"", ""SELECT['Emilie Berliner']"", ""SELECT['things']"", ""INTERSECTION['#3', '#1', '#2']""]"
