id,source_text,target_text,alt_text
DROP_train_history_2058_47e94220-4fa4-40cd-92fb-bf885f5b03ab,How many times has Real beat Atlético during a UEFA Champions League Final?,"[""SELECT['UEFA Champions League Final']"", ""FILTER['#1', 'in which Real beats Atlético']"", ""AGGREGATE['count', '#2']""]","[""SELECT['UEFA Champions League Finals']"", ""FILTER['#1', 'that Real beats Atlético']"", ""AGGREGATE['count', '#2']""]"
DROP_train_history_2058_a4052536-8456-4d90-8a66-7b3e615717ca,How many years between 1961 and 1989 did Real fail to win the Liga title?,"[""SELECT['Real']"", ""PROJECT['Liga titles of #REF', '#1']"", ""PROJECT['years of #REF', '#2']"", ""FILTER['#3', 'that are betweenleftside 1961']"", ""FILTER['#4', 'that are betweenrightside 1989']"", ""AGGREGATE['count', '#5']"", ""SELECT['the difference of 1989 and 1961']"", ""ARITHMETIC['difference', '#7', '#6']""]","[""SELECT['Real']"", ""PROJECT['Liga titles of #REF', '#1']"", ""PROJECT['years of #REF', '#2']"", ""AGGREGATE['count', '#3']"", ""ARITHMETIC['difference', '#4', '#5']""]"
DROP_train_history_2058_d8359f2e-5ffb-41a0-b093-995ba05029a6,How many years after winning their third Liga title did they then win their last Liga title?,"[""SELECT['winning their third Liga title']"", ""SELECT['they did win their last Liga title']"", ""PROJECT['year of #REF', '#1']"", ""PROJECT['year of #REF', '#2']"", ""ARITHMETIC['difference', '#3', '#4']""]","[""SELECT['winning their third Liga title']"", ""SELECT['they win their last Liga title']"", ""PROJECT['year of #REF', '#1']"", ""PROJECT['year of #REF', '#2']"", ""ARITHMETIC['difference', '#3', '#4']""]"
DROP_train_history_2059_17159838-7950-40c6-ab06-a1bc9c61ed6b,Was Real Madrid valued higher in 2013 or 2018?,"[""SELECT['Real Madrid']"", ""PROJECT['value of #REF', '#1']"", ""FILTER['#2', 'in 2013']"", ""FILTER['#2', 'in 2018']"", ""COMPARISON['max', '#3', '#4']""]","[""SELECT['Real Madrid']"", ""PROJECT['values of #REF', '#1']"", ""FILTER['#2', 'in 2013']"", ""FILTER['#2', 'in 2018']"", ""COMPARISON['max', '#3', '#4']""]"
DROP_train_history_206_a7e5ea8d-c079-4e27-a1e5-35f5a88a84eb,"Who had the largest army, Austrian army of 18,000, Osman Pasha army 30,000, Suvorov army of 7,000?","[""SELECT['Austrian army']"", ""SELECT['Osman Pasha army']"", ""SELECT['Suvorov army']"", ""PROJECT['size of #REF', '#1']"", ""PROJECT['size of #REF', '#2']"", ""PROJECT['size of #REF', '#3']"", ""COMPARISON['max', '#4', '#5', '#6']""]","[""SELECT['Austrian army']"", ""SELECT['Osman Pasha army']"", ""SELECT['Suvorov army']"", ""PROJECT['size of #REF', '#1']"", ""PROJECT['size of #REF', '#2']"", ""PROJECT['size of #REF', '#3']"", ""PROJECT['size of #REF', '#4']"", ""COMPARISON['max', '#5', '#6']""]"
DROP_train_history_2061_1c752ebf-5068-42fb-b981-660089e238d5,"Which religion had the largest percentage, Jews or Orthodox Christianity?","[""SELECT['religions']"", ""FILTER['#1', 'that is Jews']"", ""FILTER['#1', 'that is Orthodox Christianity']"", ""PROJECT['percentage of #REF', '#2']"", ""PROJECT['percentage of #REF', '#3']"", ""COMPARISON['max', '#4', '#5']""]","[""SELECT['religions']"", ""FILTER['#1', 'that was Jews']"", ""FILTER['#1', 'that was Orthodox Christianity']"", ""PROJECT['percentage of #REF', '#2']"", ""PROJECT['percentage of #REF', '#3']"", ""COMPARISON['max', '#4', '#5']""]"
DROP_train_history_2061_208a7f40-b77c-4312-b542-b4bc2e5d19fe,How many more percentage points of the Slovak population identified as the most common religion than the least common religion?,"[""SELECT['the Slovak population']"", ""PROJECT['religions of #REF', '#1']"", ""PROJECT['percentages of #REF', '#2']"", ""AGGREGATE['max', '#3']"", ""AGGREGATE['min', '#3']"", ""ARITHMETIC['difference', '#4', '#5']""]","[""SELECT['the Slovak population']"", ""PROJECT['religions of #REF', '#1']"", ""PROJECT['percentages of #REF', '#2']"", ""AGGREGATE['max', '#3']"", ""AGGREGATE['min', '#3']"", ""ARITHMETIC['difference', '#4', '#5']""]"
DROP_train_history_2061_3721ca8e-d3c3-47e1-88da-0bacb713ca7d,About how many percent of the current population in Slovakia is not Jewish?,"[""SELECT['Slovakia']"", ""PROJECT['the current Jewish population of #REF', '#1']"", ""PROJECT['percent of #REF', '#2']"", ""PROJECT['the difference of 100 percent and #REF', '#3']""]","[""SELECT['Slovakia']"", ""PROJECT['the current Jewish population of #REF', '#1']"", ""PROJECT['percent of #REF', '#2']"", ""PROJECT['difference of 100 and #REF', '#3']""]"
DROP_train_history_2061_43b1d376-37f4-462a-a92f-48f64c7db123,How many Jews lived in Slovakia before the Holocaust than after?,"[""SELECT['Jews']"", ""FILTER['#1', 'that lived in Slovakia']"", ""FILTER['#2', 'before the Holocaust']"", ""FILTER['#2', 'after the Holocaust']"", ""AGGREGATE['count', '#3']"", ""AGGREGATE['count', '#4']"", ""ARITHMETIC['difference', '#5', '#6']""]","[""SELECT['Jews']"", ""FILTER['#1', 'that lived in Slovakia before the Holocaust']"", ""FILTER['#1', 'that lived in Slovakia after the Holocaust']"", ""AGGREGATE['count', '#2']"", ""AGGREGATE['count', '#3']"", ""ARITHMETIC['difference', '#4', '#5']""]"
DROP_train_history_2061_4f3bab1b-7ae6-4aa2-a984-ee73c0c55364,Did more Slovaks identify themselves as Protestant or as Roman Catholics in 2011?,"[""SELECT['Slovaks']"", ""FILTER['#1', 'that identify themselves as Protestant in 2011']"", ""FILTER['#1', 'that identify themselves as Roman Catholics in 2011']"", ""AGGREGATE['count', '#2']"", ""AGGREGATE['count', '#3']"", ""COMPARISON['max', '#4', '#5']""]","[""SELECT['Slovaks']"", ""FILTER['#1', 'in 2011']"", ""FILTER['#2', 'that identify themselves as Protestant']"", ""FILTER['#2', 'that identify themselves as Roman Catholics']"", ""AGGREGATE['count', '#3']"", ""AGGREGATE['count', '#4']"", ""COMPARISON['max', '#5', '#6']""]"
