id,source_text,target_text,alt_text
ATIS_train_769,please list all flights into denver before noon on united airlines and northwest airlines ,"[""SELECT['flights']"", ""FILTER['#1', 'to denver']"", ""FILTER['#2', 'before noon']"", ""FILTER['#3', 'on united airlines']"", ""FILTER['#3', 'on northwester airlines']"", ""UNION['#4', '#5']""]","[""SELECT['flights']"", ""FILTER['#1', 'to denver']"", ""FILTER['#2', 'before noon']"", ""FILTER['#3', 'on united airlines']"", ""FILTER['#3', 'on northwest airlines']"", ""UNION['#4', '#5']""]"
ATIS_train_77,list all flights departing from general mitchell ,"[""SELECT['flights']"", ""FILTER['#1', 'departing from general mitchell']""]","[""SELECT['flights']"", ""FILTER['#1', 'departing general mitchell']""]"
ATIS_train_771,are there any flights on june eleventh from st. petersburg to milwaukee ,"[""SELECT['flights']"", ""FILTER['#1', 'from st. petersburg']"", ""FILTER['#2', 'to milwaukee']"", ""FILTER['#3', 'on june eleventh']"", ""BOOLEAN['#4', 'if there are any #REF']""]","[""SELECT['flights']"", ""FILTER['#1', 'from st. petersburg']"", ""FILTER['#2', 'to milwaukee']"", ""FILTER['#3', 'on june eleventh']""]"
ATIS_train_772,all flights from pittsburgh to philadelphia ,"[""SELECT['flights']"", ""FILTER['#1', 'from pittsburgh']"", ""FILTER['#2', 'to philadelphia']""]","[""SELECT['flights']"", ""FILTER['#1', 'from pittsburgh']"", ""FILTER['#2', 'to philadelphia']""."
ATIS_train_773,how many airlines have flights with service class yn ,"[""SELECT['flights']"", ""PROJECT['service classes of #REF', '#1']"", ""COMPARATIVE['#1', '#2', 'is yn']"", ""PROJECT['airlines with #REF', '#3']""]","[""SELECT['flights']"", ""PROJECT['service classes of #REF', '#1']"", ""COMPARATIVE['#1', '#2', 'is yn']"", ""PROJECT['airlines with #REF', '#3']"", ""AGGREGATE['count', '#4']""]"
ATIS_train_775,i would like an afternoon flight leaving tuesday san diego to indianapolis ,"[""SELECT['flights']"", ""FILTER['#1', 'from san diego']"", ""FILTER['#2', 'to indianapolis']"", ""FILTER['#3', 'on tuesday afternoon']""]","[""SELECT['flights']"", ""FILTER['#1', 'from san diego']"", ""FILTER['#2', 'to indianapolis']"", ""FILTER['#3', 'in the afternoon']""]"
ATIS_train_776,i need a flight from long beach to st. louis stopping in dallas the flight should also serve lunch ,"[""SELECT['flights']"", ""FILTER['#1', 'from long beach']"", ""FILTER['#2', 'to st. louis']"", ""FILTER['#3', 'stopping in dallas']"", ""FILTER['#4', 'that serve lunch']""]","[""SELECT['flights']"", ""FILTER['#1', 'from long beach']"", ""FILTER['#2', 'to st. louis']"", ""FILTER['#3','stopping in dallas']"", ""FILTER['#4', 'that serves lunch']""]"
ATIS_train_777,what're the cheapest nonstop flights from new york to miami one way ,"[""SELECT['flights']"", ""FILTER['#1', 'that are nonstop']"", ""FILTER['#2', 'that are one way']"", ""FILTER['#3', 'from new york']"", ""FILTER['#4', 'to miami']"", ""FILTER['#5', 'that are the cheapest']""]","[""SELECT['flights']"", ""FILTER['#1', 'that are nonstop']"", ""FILTER['#2', 'that are one way']"", ""FILTER['#3', 'from new york']"", ""FILTER['#4', 'to miami']"", ""FILTER['#5', 'that are the cheapest']""]"
ATIS_train_778,requesting flight information for flight from boston to baltimore on tuesday ,"[""SELECT['flights']"", ""FILTER['#1', 'from boston']"", ""FILTER['#2', 'to baltimore']"", ""FILTER['#3', 'on tuesday']""]","[""SELECT['flights']"", ""FILTER['#1', 'from boston']"", ""FILTER['#2', 'to baltimore']"", ""FILTER['#3', 'on tuesday']"", ""PROJECT['information of #REF', '#4']""]"
ATIS_train_779,show me the flights from boston to pittsburgh on thursday ,"[""SELECT['flights']"", ""FILTER['#1', 'from boston']"", ""FILTER['#2', 'to pittsburgh']"", ""FILTER['#3', 'on thursday']""]","[""SELECT['the flights']"", ""FILTER['#1', 'from boston']"", ""FILTER['#2', 'to pittsburgh']"", ""FILTER['#3', 'on thursday']""]"
ATIS_train_78,i would like to find a flight that goes from la guardia airport to san jose i would like the flight to be on united airlines and arrive in san jose around 10pm ,"[""SELECT['flights']"", ""FILTER['#1', 'on united airlines']"", ""FILTER['#2', 'from la guardia']"", ""FILTER['#3', 'to san jose']"", ""FILTER['#4', 'that arrive around 10pm']""]","[""SELECT['flights']"", ""FILTER['#1', 'from la guardia airport']"", ""FILTER['#2', 'to san jose']"", ""FILTER['#3', 'on united airlines']"", ""FILTER['#4', 'that arrive around 10pm']""]"
ATIS_train_780,give me flights from denver to baltimore ,"[""SELECT['flights']"", ""FILTER['#1', 'from denver']"", ""FILTER['#2', 'to baltimore']""]","[""SELECT['flights']"", ""FILTER['#1', 'from denver to baltimore']""]"
ATIS_train_781,us air 269 leaving boston at 428 what is the arrival time in baltimore ,"[""SELECT['flights']"", ""FILTER['#1', 'that is us air 269']"", ""FILTER['#2', 'that leave at 428']"", ""PROJECT['arrival time in baltimore of #REF', '#3']""]","[""SELECT['us air 269']"", ""FILTER['#1', 'leaving boston']"", ""FILTER['#2', 'leaving at 428']"", ""PROJECT['arrival time in baltimore of #REF', '#3']""]"
ATIS_train_782,i'd like to know if you have any flights from denver to philadelphia ,"[""SELECT['flights']"", ""FILTER['#1', 'from denver']"", ""FILTER['#2', 'to philadelphia']"", ""BOOLEAN['#3', 'are there any #REF']""]","[""SELECT['flights']"", ""FILTER['#1', 'from denver']"", ""FILTER['#2', 'to philadelphia']""."
ATIS_train_783,list the flights from baltimore to seattle that stop in minneapolis ,"[""SELECT['flights']"", ""FILTER['#1', 'from baltimore']"", ""FILTER['#2', 'to seattle']"", ""FILTER['#3', 'that stop in minneapolis']""]","[""SELECT['flights']"", ""FILTER['#1', 'from baltimore']"", ""FILTER['#2', 'to seattle']"", ""FILTER['#3', 'with stop in minneapolis']""]"
ATIS_train_784,show me the names of airlines in atlanta ,"[""SELECT['airlines']"", ""FILTER['#1', 'in atlanta']"", ""PROJECT['names of #REF', '#2']""]","[""SELECT['airlines']"", ""FILTER['#1', 'in atlanta']"", ""PROJECT['name of #REF', '#2']""]"
ATIS_train_785,give me the flights from new york city to las vegas on sunday and the flights from memphis to las vegas on sunday ,"[""SELECT['flights']"", ""FILTER['#1', 'from new york city']"", ""FILTER['#2', 'to las vegas']"", ""FILTER['#3', 'on sunday']"", ""FILTER['#1', 'from memphis']"", ""FILTER['#5', 'to las vegas']"", ""FILTER['#6', 'on sunday']"", ""UNION['#4', '#7']""]","[""SELECT['flights']"", ""FILTER['#1', 'from new york city']"", ""FILTER['#2', 'to las vegas']"", ""FILTER['#3', 'on sunday']"", ""FILTER['#1', 'from memphis']"", ""FILTER['#5', 'to las vegas']"", ""UNION['#4', '#6']""]"
