id,source_text,target_text,alt_text
COMQA_train_cluster-53-4,what sea does the colorado river flow into?,"[""SELECT['the colorado river']"", ""SELECT['seas']"", ""FILTER['#2', 'that #1 flows into']""]","[""SELECT['colorado river']"", ""PROJECT['sea flow into of #REF', '#1']""]"
COMQA_train_cluster-534-1,what was the name of the first record company elvis worked with?,"[""SELECT['elvis']"", ""PROJECT['record companies that #REF worked with', '#1']"", ""AGGREGATE['min', '#2']""]","[""SELECT['elvis']"", ""PROJECT['record companies that #REF worked with', '#1']"", ""AGGREGATE['min', '#2']""]"
COMQA_train_cluster-535-1,what is south carolinas state capital named after?,"[""SELECT['south carolinas']"", ""PROJECT['capital of #REF', '#1']"", ""PROJECT['what is #REF named after', '#2']""]","[""SELECT['south carolinas']"", ""PROJECT['capital of #REF', '#1']"", ""PROJECT['what was #REF named after', '#2']""]"
COMQA_train_cluster-53-6,in what sea does the river colorado flow into?,"[""SELECT['the colorado river']"", ""PROJECT['into what sea does #REF flow', '#1']""]","[""SELECT['the river colorado']"", ""PROJECT['sea that #REF flows into', '#1']""]"
COMQA_train_cluster-536-2,who was the spartan king who died at the battle of thermopylae?,"[""SELECT['spartan king']"", ""SELECT['the battle of thermopylae']"", ""FILTER['#1', 'that died at #2']""]","[""SELECT['the battle of thermopylae']"", ""PROJECT['spartan king who died at #REF', '#1']""]"
COMQA_train_cluster-536-3,who was the spartan king at the battle of thermopylae?,"[""SELECT['the battle of thermopylae']"", ""PROJECT['when was #REF', '#1']"", ""PROJECT['spartan king in #REF', '#2']""]","[""SELECT['the battle of thermopylae']"", ""PROJECT['when was #REF', '#1']"", ""PROJECT['spartan king in #REF', '#2']""]"
COMQA_train_cluster-537-1,find the names of the city on each continent with the largest populations?,"[""SELECT['continents']"", ""PROJECT['cities of #REF', '#1']"", ""PROJECT['population of #REF', '#2']"", ""GROUP['max', '#3', '#1']"", ""COMPARATIVE['#2', '#3', 'is equal to #4']""]","[""SELECT['continents']"", ""PROJECT['cities of #REF', '#1']"", ""PROJECT['populations of #REF', '#2']"", ""SUPERLATIVE['max', '#2', '#3']"", ""PROJECT['names of #REF', '#4']""]"
COMQA_train_cluster-537-2,what is the largest city of each continent?,"[""SELECT['continents']"", ""PROJECT['cities of #REF', '#1']"", ""PROJECT['size of #REF', '#2']"", ""GROUP['max', '#3', '#1']"", ""COMPARATIVE['#2', '#3', 'is equal to #4']""]","[""SELECT['continents']"", ""PROJECT['cities of #REF', '#1']"", ""PROJECT['size of #REF', '#2']"", ""SUPERLATIVE['max', '#2', '#3']""]"
COMQA_train_cluster-537-3,most populated city in each continent?,"[""SELECT['continents']"", ""PROJECT['cities of #REF', '#1']"", ""PROJECT['population of #REF', '#2']"", ""GROUP['max', '#3', '#1']"", ""COMPARATIVE['#2', '#3', 'is equal to #4']""]","[""SELECT['continents']"", ""PROJECT['cities of #REF', '#1']"", ""PROJECT['population of #REF', '#2']"", ""GROUP['max', '#3', '#1']"", ""UNION['#1', '#4']""]-"
COMQA_train_cluster-538-2,where did georeg eastman go to school?,"[""SELECT['georeg eastman']"", ""PROJECT['school of #REF', '#1']""]","[""SELECT['georeg eastman']"", ""PROJECT['schools of #REF', '#1']""]"
COMQA_train_cluster-538-3,what education did george eastman have?,"[""SELECT['george eastman']"", ""PROJECT['education of #REF', '#1']""]","[""SELECT['george eastman']"", ""PROJECT['educations of #REF', '#1']""]"
COMQA_train_cluster-539-1,which african country has the largest population?,"[""SELECT['african']"", ""PROJECT['countries of #REF', '#1']"", ""PROJECT['population of #REF', '#2']"", ""SUPERLATIVE['max', '#2', '#3']""]","[""SELECT['countries']"", ""FILTER['#1', 'that are african']"", ""PROJECT['population of #REF', '#2']"", ""SUPERLATIVE['max', '#2', '#3']""]"
