id,source_text,output_text,alt_text
ATIS_train_3233,does midwest express serve philadelphia ,"[""SELECT['flights']"", ""FILTER['#1', 'on midwest express']"", ""FILTER['#2', 'to philadelphia']"", ""AGGREGATE['count', '#3']"", ""BOOLEAN['#4', 'is at least one']""]","[""SELECT['flights']"", ""FILTER['#1', 'from midwest express']"", ""FILTER['#2', 'to philadelphia']"", ""AGGREGATE['count', '#3']"", ""BOOLEAN['#4', 'is at least one']""]"
ATIS_train_3234,which airlines serve denver ,"[""SELECT['airlines']"", ""FILTER['#1', 'that serve denver']""]","[""SELECT['airlines']"", ""FILTER['#1', 'which serve denver']""]"
ATIS_train_3235,airline and flight number from columbus to minneapolis ,"[""SELECT['flights']"", ""FILTER['#1', 'from columbus']"", ""FILTER['#2', 'to minneapolis']"", ""PROJECT['airline of #REF', '#3']"", ""PROJECT['flight number of #REF', '#3']"", ""UNION['#4', '#5']""]","[""SELECT['flights']"", ""FILTER['#1', 'from columbus']"", ""FILTER['#2', 'to minneapolis']"", ""PROJECT['airline of #REF', '#3']"", ""AGGREGATE['count', '#3']"", ""UNION['#4', '#5']""]"
ATIS_train_3236,please list for me the flights on united airlines between boston and denver ,"[""SELECT['flights']"", ""FILTER['#1', 'on united airlines']"", ""FILTER['#2', 'betweenleftside boston']"", ""FILTER['#3', 'betweenrightside denver']""]","[""SELECT['flights']"", ""FILTER['#1', 'on united airlines']"", ""FILTER['#2', 'from boston']"", ""FILTER['#3', 'to denver']""]"
ATIS_train_3237,list airlines serving between denver and san francisco ,"[""SELECT['airlines']"", ""FILTER['#1','serving between denver']"", ""FILTER['#2', 'and san francisco']""]","[""SELECT['flights']"", ""FILTER['#1', 'between denver']"", ""FILTER['#2', 'and san francisco']"", ""PROJECT['airlines serving #REF', '#3']""]"
ATIS_train_3238,please show me round trip tickets from denver to oakland ,"[""SELECT['tickets']"", ""FILTER['#1', 'that are round trip']"", ""FILTER['#2', 'from denver']"", ""FILTER['#3', 'to oakland']""]","[""SELECT['flights']"", ""FILTER['#1', 'from denver']"", ""FILTER['#2', 'to oakland']"", ""FILTER['#3', 'that are round trip']"", ""PROJECT['tickets of #REF', '#4']""]"
ATIS_train_3239,show me the type of aircraft that cp uses ,"[""SELECT['cp']"", ""PROJECT['aircraft #REF uses', '#1']"", ""PROJECT['type of #REF', '#2']""]","[""SELECT['cp']"", ""PROJECT['aircraft that #REF uses', '#1']"", ""PROJECT['type of #REF', '#2']""]"
ATIS_train_324,list all flights from indianapolis to seattle ,"[""SELECT['all flights']"", ""FILTER['#1', 'from indianapolis']"", ""FILTER['#2', 'to seattle']""]","[""SELECT['flights']"", ""FILTER['#1', 'from indianapolis to seattle']""]"
ATIS_train_3240,show me all flights from dallas to pittsburgh which leave on monday after 8 o'clock am ,"[""SELECT['flights']"", ""FILTER['#1', 'from dallas']"", ""FILTER['#2', 'to pittsburgh']"", ""FILTER['#3', 'on monday']"", ""FILTER['#4', 'after 8 am']""]","[""SELECT['flights']"", ""FILTER['#1', 'from dallas to pittsburgh']"", ""FILTER['#2', 'that leave on monday after 8 am']""]"
ATIS_train_3241,are there any flights from denver to pittsburgh connecting in atlanta ,"[""SELECT['flights']"", ""FILTER['#1', 'from denver']"", ""FILTER['#2', 'to pittsburgh']"", ""FILTER['#3', 'connecting in atlanta']""]","[""SELECT['flights']"", ""FILTER['#1', 'from denver']"", ""FILTER['#2', 'to pittsburgh']"", ""FILTER['#3', 'that are connecting in atlanta']""]"
ATIS_train_3243,please list the shortest one stop flight from ontario california to orlando florida ,"[""SELECT['flights']"", ""FILTER['#1', 'that are one stop']"", ""FILTER['#2', 'from ontario california']"", ""FILTER['#3', 'to orlando florida']"", ""AGGREGATE['min', '#4']""]","[""SELECT['flights']"", ""FILTER['#1', 'from ontario california']"", ""FILTER['#2', 'to orlando florida']"", ""FILTER['#3', 'that have one stop']"", ""AGGREGATE['min', '#4']""]"
ATIS_train_3244,give me flights from san francisco to boston on thursday afternoon ,"[""SELECT['flights']"", ""FILTER['#1', 'from san francisco']"", ""FILTER['#2', 'to boston']"", ""FILTER['#3', 'on thursday afternoon']""]","[""SELECT['flights']"", ""FILTER['#1', 'on thursday afternoon']"", ""FILTER['#2', 'from san francisco']"", ""FILTER['#3', 'to boston']""]"
ATIS_train_3245,list all flights going from boston to atlanta on wednesday after 6 o'clock pm on wednesday ,"[""SELECT['flights']"", ""FILTER['#1', 'from boston']"", ""FILTER['#2', 'to atlanta']"", ""FILTER['#3', 'on wednesday']"", ""FILTER['#4', 'after 6 pm']""]","[""SELECT['flights']"", ""FILTER['#1', 'from boston']"", ""FILTER['#2', 'to atlanta']"", ""FILTER['#3', 'on wednesday after 6 pm']""]"
ATIS_train_3246,are there any later flights than 810pm leaving from milwaukee for tacoma tomorrow evening ,"[""SELECT['flights']"", ""FILTER['#1', 'from milwaukee']"", ""FILTER['#2', 'to tacoma']"", ""FILTER['#3', 'tomorrow evening']"", ""FILTER['#4', 'later than 810pm']"", ""BOOLEAN['#5', 'are there any #REF']""]","[""SELECT['flights']"", ""FILTER['#1', 'from milwaukee']"", ""FILTER['#2', 'to tacoma']"", ""FILTER['#3', 'that are leaving tomorrow evening']"", ""FILTER['#4', 'later than 810pm']"", ""BOOLEAN['#5', 'are there any #REF']""]"
ATIS_train_3247,i'd like a flight tomorrow from kansas city to newark in the morning ,"[""SELECT['flights']"", ""FILTER['#1', 'from kansas city']"", ""FILTER['#2', 'to newark']"", ""FILTER['#3', 'in the morning']"", ""FILTER['#4', 'tomorrow']""]","[""SELECT['flights']"", ""FILTER['#1', 'from kansas city']"", ""FILTER['#2', 'to newark']"", ""FILTER['#3', 'that are tomorrow']"", ""FILTER['#4', 'in the morning']""]"
ATIS_train_3248,i'd like to see all flights from denver to philadelphia ,"[""SELECT['all flights']"", ""FILTER['#1', 'from denver']"", ""FILTER['#2', 'to philadelphia']""]","[""SELECT['flights']"", ""FILTER['#1', 'from denver']"", ""FILTER['#2', 'to philadelphia']""."
ATIS_train_3249,i need information for flights leaving baltimore and arriving in atlanta ,"[""SELECT['flights']"", ""FILTER['#1', 'leaving baltimore']"", ""FILTER['#2', 'arriving in atlanta']""]","[""SELECT['flights']"", ""FILTER['#1', 'from baltimore to atlanta']""]"
ATIS_train_325,what is the cost for these flights from baltimore to philadelphia ,"[""SELECT['flights']"", ""FILTER['#1', 'from baltimore']"", ""FILTER['#2', 'to philadelphia']"", ""PROJECT['cost of #REF', '#3']""]","[""SELECT['flights']"", ""FILTER['#1', 'from baltimore']"", ""FILTER['#2', 'to philadelphia']"", ""PROJECT['cost for #REF', '#3']""]"
ATIS_train_3250,what would be cost of a round trip from pittsburgh to san francisco ,"[""SELECT['flights']"", ""FILTER['#1', 'from pittsburgh']"", ""FILTER['#2', 'to san francisco']"", ""FILTER['#3', 'that are round trip']"", ""PROJECT['cost of #REF', '#4']""]","[""SELECT['flights']"", ""FILTER['#1', 'from pittsburgh']"", ""FILTER['#2', 'to san francisco']"", ""FILTER['#3', 'that are round trips']"", ""PROJECT['cost of #REF', '#4']""]"
ATIS_train_3251,show me the flight schedule from pittsburgh to san francisco ,"[""SELECT['flights']"", ""FILTER['#1', 'from pittsburgh']"", ""FILTER['#2', 'to san francisco']"", ""PROJECT['schedules of #REF', '#3']""]","[""SELECT['flights']"", ""FILTER['#1', 'from pittsburgh']"", ""FILTER['#2', 'to san francisco']"", ""PROJECT['the schedule for #REF', '#3']""]"
ATIS_train_3252,list all flights from pittsburgh to philadelphia ,"[""SELECT['all flights']"", ""FILTER['#1', 'from pittsburgh']"", ""FILTER['#2', 'to philadelphia']""]","[""SELECT['flights']"", ""FILTER['#1', 'from pittsburgh to philadelphia']""]"
ATIS_train_3253,round trip houston to las vegas nonstop ,"[""SELECT['flights']"", ""FILTER['#1', 'that are nonstop']"", ""FILTER['#2', 'from houston']"", ""FILTER['#3', 'to las vegas']"", ""FILTER['#4', 'that are round trip']""]","[""SELECT['flights']"", ""FILTER['#1', 'that are round trip']"", ""FILTER['#2', 'from houston']"", ""FILTER['#3', 'to las vegas']"", ""FILTER['#4', 'nonstop']""]"
ATIS_train_3254,i'd like the lowest fare from denver to pittsburgh ,"[""SELECT['fares']"", ""FILTER['#1', 'from denver']"", ""FILTER['#2', 'to pittsburgh']"", ""AGGREGATE['min', '#3']""]","[""SELECT['flights']"", ""FILTER['#1', 'from denver']"", ""FILTER['#2', 'to pittsburgh']"", ""PROJECT['fares of #REF', '#3']""."
ATIS_train_3255,can you show me the available flights from baltimore to dallas with economy fares ,"[""SELECT['flights']"", ""FILTER['#1', 'from baltimore']"", ""FILTER['#2', 'to dallas']"", ""FILTER['#3', 'with economy fares']"", ""FILTER['#4', 'that are available']""]","[""SELECT['flights']"", ""FILTER['#1', 'from baltimore']"", ""FILTER['#2', 'to dallas']"", ""FILTER['#3', 'in economy']"", ""FILTER['#4', 'that are available']""]"
ATIS_train_3256,show all connecting flights from pittsburgh to oakland ,"[""SELECT['flights']"", ""FILTER['#1', 'that are connecting']"", ""FILTER['#2', 'from pittsburgh']"", ""FILTER['#3', 'to oakland']""]","[""SELECT['connecting flights']"", ""FILTER['#1', 'from pittsburgh']"", ""FILTER['#2', 'to oakland']""]"
