id,source_text,output_text,alt_text
DROP_train_history_1231_810f39c0-d9b2-45f1-9520-1bef68650823,How many people brought the idea of the creation of Cossack formations as a border service was brought to the State Council ?,"SELECT the idea of the creation of Cossack formations as a border service was brought to the State Council, PROJECT people of #REF #1, AGGREGATE count #2","SELECT the idea of the creation of Cossack formations as a border service, PROJECT people that brought #REF to the State Council #1, AGGREGATE count #2"
DROP_train_history_1232_f42a2082-c108-4a49-ae31-d242a75bd5a0,Did the Franco-Savoyard army have more men or cavalry?,"SELECT the Franco-Savoyard army, PROJECT men of #REF #1, PROJECT cavalry of #REF #1, AGGREGATE count #2, AGGREGATE count #3, COMPARISON max #4 #5","SELECT Franco-Savoyard army, PROJECT men of #REF #1, PROJECT cavalry of #REF #1, AGGREGATE count #2, AGGREGATE count #3, COMPARISON max #4 #5"
DROP_train_history_1235_38d0e403-f62d-4cc4-bbcf-ce6ca1de6c2f,How many years after the Constitution of Ireland was adopted was the Good Friday Agreement?,"SELECT the Constitution of Ireland was adopted, SELECT the Good Friday Agreement, PROJECT year of #REF #1, PROJECT year of #REF #2, ARITHMETIC difference #4 #3","SELECT the Constitution of Ireland was adopted, SELECT the Good Friday Agreement, PROJECT when was #REF #1, PROJECT when was #REF #2, ARITHMETIC difference #3 #4"
DROP_train_history_1235_86940657-22b5-4012-a90e-1078972d2859,How many counties of Ireland were NOT part of the 1922 Irish Free State?,"SELECT Ireland, PROJECT counties of #REF #1, FILTER #2 that were part of the 1922 Irish Free State, AGGREGATE count #2, AGGREGATE count #3, ARITHMETIC difference #4 #5","SELECT Ireland, PROJECT counties of #REF #1, FILTER #2 that were part of 1922 Irish Free State, AGGREGATE count #3, AGGREGATE count #4, ARITHMETIC difference #5 #6"
DROP_train_history_1235_b677684c-a362-4db4-8c44-73bbabe28ac8,Did Ireland use the name Eire or Ireland first?,"SELECT Ireland use the name Eire, SELECT Ireland use the name Ireland, PROJECT when was #REF #1, PROJECT when was #REF #2, COMPARISON min #3 #4","SELECT Ireland, PROJECT names of #REF #1, COMPARATIVE #1 #2 is Eire, COMPARATIVE #1 #2 is Ireland, COMPARISON min #3 #4"
DROP_train_history_1236_20d28c0a-57d3-4a4d-9161-bc9838dcfa25,"Did more Irish die of disease or starvation, or did more emigrate?","SELECT Irish, FILTER #1 that die of disease or starvation, FILTER #1 that emigrate, AGGREGATE count #2, AGGREGATE count #3, COMPARISON max #4 #5","SELECT Irish, FILTER #1 that did die of disease or starvation, FILTER #1 that did emigrate, AGGREGATE count #2, AGGREGATE count #3, COMPARISON max #4 #5"
DROP_train_history_1236_6a19b08e-e28a-4fd6-b95d-17ffb91704e9,How many millions of people did the population fall by?,"SELECT the population, PROJECT millions of people that #REF fall by #1","SELECT the population did fall by, PROJECT millions of people of #REF #1"
DROP_train_history_1236_7b7265b3-0dbf-4138-8e4b-89537bb35465,"Which did more people do during the Great Famine, Irish died of starvation/disease or emigrated?","SELECT Irish, FILTER #1 that died of starvation/disease, FILTER #1 that emigrated, AGGREGATE count #2, AGGREGATE count #3, COMPARISON max #4 #5","SELECT the Great Famine, PROJECT Irish that died of starvation/disease during #REF #1, PROJECT Irish that emigrated during #REF #1, AGGREGATE count #2, AGGREGATE count #3, COMPARISON max #4 #5"
DROP_train_history_1236_920d2fff-9c5c-4a6f-a01a-214b079438d3,"After the Great Famine, Ireland's population was approximately how many people?","SELECT Ireland, PROJECT population of #REF #1, FILTER #2 After the Great Famine, AGGREGATE sum #3","SELECT Ireland, PROJECT population of #REF #1, FILTER #2 after the Great Famine, AGGREGATE sum #3"
DROP_train_history_1236_a812a4e4-43e7-4a3c-a97c-ecab04073789,How many millions of people did not emigrate to the US?,"SELECT millions of people, FILTER #1 that did emigrate to the US, AGGREGATE count #1, AGGREGATE count #2, ARITHMETIC difference #3 #4","SELECT millions of people that did emigrate to the US, AGGREGATE count #1, AGGREGATE count #2, ARITHMETIC difference #3 #4"
