id,source_text,output_text,alt_text
ACADEMIC_train_0,return me the homepage of PVLDB . ,"SELECT homepages, FILTER #1 of PVLDB","SELECT homepage, FILTER #1 of PVLDB"
ACADEMIC_train_1,"return me the homepage of "" H. V. Jagadish "" . ","SELECT homepages, FILTER #1 of H. V. Jagadish","SELECT homepage, FILTER #1 of H. V. Jagadish"
ACADEMIC_train_10,"return me the number of references of "" Making database systems usable "" . ","SELECT references, FILTER #1 of Making database systems usable, AGGREGATE count #2","SELECT references, FILTER #1 of Making database systems usable, AGGREGATE count #2."
ACADEMIC_train_100,"return me the number of papers in VLDB conference containing keyword "" Information Retrieval "" . ","SELECT papers, FILTER #1 in VLDB conference, FILTER #2 containing keyword Information Retrieval, AGGREGATE count #3","SELECT papers, FILTER #1 in VLDB conference, FILTER #2 with keyword Information Retrieval, AGGREGATE count #3"
ACADEMIC_train_101,"return me the number of authors who have papers containing keyword "" Relational Database "" . ","SELECT papers, FILTER #1 containing keyword Relational Database, PROJECT authors of #REF #2, AGGREGATE count #3","SELECT papers, PROJECT keywords of #REF #1, COMPARATIVE #1 #2 is Relational Database, PROJECT authors of #REF #3"
ACADEMIC_train_102,"return me the total citations of the papers containing keyword "" Natural Language "" ","SELECT papers, PROJECT keywords of #REF #1, COMPARATIVE #1 #2 is Natural Language, PROJECT citations of #REF #3, AGGREGATE count #4","SELECT papers, FILTER #1 containing keyword Natural Language, PROJECT citations of #REF #2, GROUP count #3 #2, AGGREGATE sum #4"
ACADEMIC_train_103,return me the number of the organizations . ,"SELECT organizations, AGGREGATE count #1","SELECT the organizations, AGGREGATE count #1"
ACADEMIC_train_104,"return me the number of the organizations in "" North America "" . ","SELECT organizations, FILTER #1 in North America, AGGREGATE count #2","SELECT North America, PROJECT organizations of #REF #1, AGGREGATE count #2"
ACADEMIC_train_105,return me the number of organizations in Databases area . ,"SELECT organizations, FILTER #1 in Databases area, AGGREGATE count #2","SELECT databases area, PROJECT organizations in #REF #1, AGGREGATE count #2"
ACADEMIC_train_106,"return me the number of organizations in Databases area located in "" North America "" . ","SELECT organizations, FILTER #1 in Databases area, FILTER #2 located in North America, AGGREGATE count #3","SELECT organizations, PROJECT areas of #REF #1, COMPARATIVE #1 #2 is Databases, FILTER #3 located in North America, AGGREGATE count #4"
ACADEMIC_train_107,"return me the number of papers in "" University of Michigan "" . ","SELECT papers, FILTER #1 in University of Michigan, AGGREGATE count #2","SELECT papers, FILTER #1 in the University of Michigan, AGGREGATE count #2"
ACADEMIC_train_108,"return me the number of papers in "" University of Michigan "" in Databases area . ","SELECT papers, FILTER #1 in University of Michigan, FILTER #2 in Databases area, AGGREGATE count #3","SELECT papers, FILTER #1 in University of Michigan, PROJECT area of #REF #2, COMPARATIVE #2 #3 is Databases, AGGREGATE count #4"
ACADEMIC_train_109,"return me the number of papers after 2000 in "" University of Michigan "" . ","SELECT papers, FILTER #1 in University of Michigan, FILTER #2 after 2000, AGGREGATE count #3","SELECT papers, FILTER #1 from University of Michigan, FILTER #2 after 2000, AGGREGATE count #3"
ACADEMIC_train_11,"return me the number of citations of "" Making database systems usable "" . ","SELECT citations, FILTER #1 of Making database systems usable, AGGREGATE count #2","SELECT citations of Making database systems usable, AGGREGATE count #1"
