id,source_text,output_text,alt_text
NLVR2_train_train-13204-2-1,If an image shows one white towel roll mounted on a bar hung on a cabinet door.,"SELECT towel roll, FILTER #1 that is white, SELECT bar, SELECT cabinet door, FILTER #3 hung on #4, FILTER #2 mounted on #5, SELECT images, GROUP count #6 #7, COMPARATIVE #7 #8 is equal to one, AGGREGATE count #9, BOOLEAN #10 is at least one","SELECT towel roll, FILTER #1 that is white, SELECT bar, SELECT cabinet door, FILTER #2 mounted on #3, FILTER #4 hung on #5, PROJECT images of #REF #6, GROUP count #6 #7, COMPARATIVE #7 #8 is equal to one, AGGREGATE count #9, BOOLEAN #10 is equal to one"
NLVR2_train_train-13205-1-0,If a single package of paper towels stands alone in the image on the left.,"SELECT left image, PROJECT package of paper towels in #REF #1, FILTER #2 that stands alone, AGGREGATE count #3, BOOLEAN #4 is equal to one","SELECT left image, PROJECT package of paper towels in #REF #1, FILTER #2 that stand alone, AGGREGATE count #3, BOOLEAN #4 is equal to one"
NLVR2_train_train-13208-1-0,If at least one of the seals is in the water.,"SELECT seals, SELECT water, FILTER #1 in #2, AGGREGATE count #3, BOOLEAN #4 is at least one","SELECT seals, SELECT water, FILTER #1 that is in #2, AGGREGATE count #3, BOOLEAN #4 is at least one"
NLVR2_train_train-13-2-1,If at least one of the dogs is not standing on grass.,"SELECT dogs, SELECT grass, FILTER #1 standing on #2, DISCARD #1 #3, AGGREGATE count #4, BOOLEAN #5 is at least one","SELECT dogs, SELECT grass, FILTER #1 that are not standing on #2, AGGREGATE count #3, BOOLEAN #4 is at least one"
NLVR2_train_train-13210-0-1,If an adult seal extends its neck to nuzzle a baby seal with its nose in at least one image.,"SELECT seal, FILTER #1 that is adult, PROJECT neck of #REF #2, FILTER #1 that is baby, PROJECT nose of #REF #3, FILTER #2 that extends #4, FILTER #5 to nuzzle #6, BOOLEAN #7 is in at least one image","SELECT seal, FILTER #1 that is an adult, PROJECT neck of #REF #2, FILTER #1 that is a baby, PROJECT nose of #REF #3, FILTER #2 that extends #4, FILTER #5 to nuzzle #6, BOOLEAN #7 is in at least one image"
NLVR2_train_train-13211-0-1,If none of the beds are bunk beds.,"SELECT beds, FILTER #1 that are bunk beds, AGGREGATE count #2, BOOLEAN #3 is equal to zero","SELECT bed, FILTER #1 that are bunk beds, AGGREGATE count #2, BOOLEAN #3 is equal to zero"
NLVR2_train_train-1321-1-1,If there are 3 ferrets being helpd up together by human hands,"SELECT ferrets, SELECT human hands, FILTER #1 being helpd up together by #2, AGGREGATE count #3, BOOLEAN #4 is equal to 3","SELECT ferrets, SELECT human hands, FILTER #1 being helpedd up together by #2, AGGREGATE count #3, BOOLEAN #4 is equal to 3"
NLVR2_train_train-13216-3-1,If the front leads of the carriage are resting on the ground in one of the images.,"SELECT carriage, PROJECT front leads of #REF #1, SELECT ground, FILTER #2 resting on #3, BOOLEAN #4 are in one of the images","SELECT carriage, PROJECT front leads of #REF #1, SELECT ground, FILTER #2 resting on #3, BOOLEAN #4 are in one image"
NLVR2_train_train-13217-0-0,If an image shows a wooden two-wheeled cart with 'handles' tilted to the ground.,"SELECT cart, FILTER #1 that is two-wheeled, FILTER #2 that is wooden, PROJECT handles of #REF #3, SELECT ground, COMPARATIVE #3 #4 are tilted to #5, BOOLEAN #6 is in an image","SELECT cart, FILTER #1 that is wooden, FILTER #2 that is two-wheeled, PROJECT handle of #REF #3, SELECT ground, COMPARATIVE #3 #4 is tilted to #5, BOOLEAN #6 is in an image"
NLVR2_train_train-13217-0-1,If at least one of the carts is rectagular and made of wood.,"SELECT carts, FILTER #1 that are rectagular, FILTER #2 that are made of wood, AGGREGATE count #3, BOOLEAN #4 is at least one","SELECT carts, FILTER #1 that is rectagular, FILTER #2 that is made of wood, AGGREGATE count #3, BOOLEAN #4 is at least one"
NLVR2_train_train-13218-2-0,If an image shows a wagon with violet interior and a dark top over it.,"SELECT wagon, PROJECT interior of #REF #1, COMPARATIVE #1 #2 is violet, PROJECT top of #REF #3, COMPARATIVE #3 #4 is dark, BOOLEAN #5 is in an image","SELECT wagon, PROJECT interior of #REF #1, COMPARATIVE #1 #2 is violet, PROJECT top of #REF #3, COMPARATIVE #3 #4 is dark over it, BOOLEAN #5 is in an image"
NLVR2_train_train-13219-1-1,If at least one image features a black cart with metal grating for the foot rest.,"SELECT cart, FILTER #1 that is black, PROJECT foot rest of #REF #2, SELECT grating, FILTER #4 that is metal, COMPARATIVE #2 #3 has #5, BOOLEAN #6 is in at least one image","SELECT cart, FILTER #1 that is black, PROJECT the foot rest of #REF #2, SELECT grating, FILTER #4 that is metal, COMPARATIVE #2 #3 has #5, BOOLEAN #6 is in at least one image"
NLVR2_train_train-13219-2-0,If the foot rest of the buggy in the left photo is made from wooden slats.,"SELECT left photo, PROJECT buggy in #REF #1, PROJECT foot rest of #REF #2, SELECT slats, FILTER #4 that are wooden, BOOLEAN #3 is made from #5","SELECT the left photo, PROJECT buggy in #REF #1, PROJECT foot rest of #REF #2, SELECT slats, FILTER #4 that are wooden, BOOLEAN #3 is made from #5"
NLVR2_train_train-13220-1-1,"If each image contains only one actual, round golf ball.","SELECT golf ball, FILTER #1 that is round, FILTER #2 that is real, SELECT images, GROUP count #3 #4, COMPARATIVE #4 #5 is equal to one, AGGREGATE count #4, AGGREGATE count #6, BOOLEAN #7 is equal to #8","SELECT golf balls, FILTER #1 that are round, FILTER #2 that are actual, SELECT images, GROUP count #3 #4, COMPARATIVE #4 #5 is equal to one, AGGREGATE count #4, AGGREGATE count #6, BOOLEAN #7 is equal to #8"
NLVR2_train_train-13220-2-0,If there are two balls sitting directly on the grass.,"SELECT balls, SELECT grass, FILTER #1 sitting directly on #2, AGGREGATE count #3, BOOLEAN #4 is equal to two","SELECT balls, SELECT grass, FILTER #1 that are sitting directly on #2, AGGREGATE count #3, BOOLEAN #4 is equal to two"
NLVR2_train_train-13221-0-0,If an image shows yellow and orange balls among white golf balls.,"SELECT golf balls, FILTER #1 that are yellow, FILTER #1 that are orange, FILTER #1 that are white, FILTER #2 among #3, FILTER #4 among #5, BOOLEAN #6 is in an image","SELECT golf balls, FILTER #1 that are yellow, FILTER #1 that are orange, FILTER #1 that are white, FILTER #2 that are among #3, FILTER #4 that are among #5, AGGREGATE count #6, BOOLEAN #7 is at least one"
NLVR2_train_train-13221-1-1,If all the balls in the image on the right are white.,"SELECT the image on the right, PROJECT balls in #REF #1, FILTER #2 that are white, AGGREGATE count #2, AGGREGATE count #3, BOOLEAN #4 is equal to #5","SELECT right image, PROJECT balls in #REF #1, FILTER #2 that are white, AGGREGATE count #3, AGGREGATE count #2, BOOLEAN #4 is equal to #5"
NLVR2_train_train-13222-2-1,If some of the balls are sitting in tubs.,"SELECT balls, SELECT tubs, FILTER #1 sitting in #2, AGGREGATE count #3, BOOLEAN #4 is at least two","SELECT balls, SELECT tubs, FILTER #1 sitting in #2, AGGREGATE count #3, BOOLEAN #4 is higher than one"
NLVR2_train_train-13222-3-0,If an image shows many golf balls piled into a squarish tub container.,"SELECT golf balls, SELECT tub container, FILTER #2 that is squarish, FILTER #1 piled into #3, AGGREGATE count #4, BOOLEAN #5 is higher than one","SELECT golf balls, SELECT tub container, FILTER #2 that is squarish, FILTER #1 piled into #3, BOOLEAN #4 are in an image"
NLVR2_train_train-13224-0-0,If a golf ball is on a tee in one image.,"SELECT golf ball, SELECT tee, FILTER #1 on #2, BOOLEAN #3 is in one image","SELECT golf ball, SELECT tee, BOOLEAN #1 is on #2"
NLVR2_train_train-13225-3-1,If the person's skin is visible as they try on the gloves.,"SELECT person, SELECT gloves, FILTER #1 that try on #2, PROJECT skin of #REF #3, BOOLEAN #4 is visible","SELECT person, PROJECT skin of #REF #1, SELECT gloves, FILTER #2 that try on #3, BOOLEAN #4 is visible"
NLVR2_train_train-13230-0-0,If both images show a beetle in contact with a round dung ball.,"SELECT beetle, SELECT dung ball, FILTER #2 that is round, FILTER #1 in contact with #3, BOOLEAN #4 is in both images","SELECT beetle, SELECT round dung ball, FILTER #1 in contact with #2, BOOLEAN #3 is in both images"
NLVR2_train_train-13230-1-1,If at least one of the beetles is not on a clod of dirt.,"SELECT beetles, SELECT clod of dirt, FILTER #1 on #2, DISCARD #1 #3, AGGREGATE count #4, BOOLEAN #5 is at least one","SELECT beetles, SELECT clod of dirt, FILTER #1 not on #2, AGGREGATE count #3, BOOLEAN #4 is at least one."
NLVR2_train_train-1323-1-0,If there is a human hand reaching for a dessert.,"SELECT human, PROJECT hand of #REF #1, SELECT dessert, BOOLEAN #2 is reaching for #3","SELECT human, PROJECT hand of #REF #1, SELECT dessert, BOOLEAN #2 is reaching for #4"
NLVR2_train_train-13232-3-1,If the dog in the left photo has its tongue out.,"SELECT left photo, PROJECT dog in #REF #1, PROJECT tongue of #REF #2, BOOLEAN #3 is out","SELECT dog, PROJECT tongue of #REF #1, COMPARATIVE #1 #2 is out, BOOLEAN #3 is in the left photo"
NLVR2_train_train-13234-1-0,If santa-themed red and white attire is included in one image with at least one dog.,"SELECT attire, FILTER #1 that is santa-themed, FILTER #2 that is red and white, SELECT images, GROUP count #3 #4, COMPARATIVE #4 #5 is at least one, AGGREGATE count #6, BOOLEAN #7 is equal to one","SELECT attire, FILTER #1 that is red and white, FILTER #2 that is santa-themed, SELECT images, PROJECT dogs in #REF #4, GROUP count #5 #4, COMPARATIVE #4 #6 is at least one, AGGREGATE count #7, BOOLEAN #8 is equal to one"
NLVR2_train_train-13235-3-0,If both dogs are outside on the grass.,"SELECT dogs, FILTER #1 that are outside, SELECT grass, FILTER #2 on #3, AGGREGATE count #4, BOOLEAN #5 is equal to two","SELECT dogs, SELECT grass, FILTER #1 on #2, FILTER #3 that are outside, AGGREGATE count #4, BOOLEAN #5 is equal to two"
